"index","citations","year","Title"
"316","121","1990","Bumptrees for Efficient Function, Constraint and Classification Learning"
"317","63","1990","Evolution and Learning in Neural Networks: The Number and Distribution of Learning Trials Affect the Rate of Evolution"
"318","3","1990","Closed-Form Inversion of Backpropagation Networks: Theory and Optimization Issues"
"319","96","1990","Learning Time-varying Concepts"
"320","44","1990","RecNorm: Simultaneous Normalisation and Classification applied to Speech Recognition"
"321","5","1990","Neural Network Implementation of Admission Control"
"322","7","1990","A Recurrent Neural Network Model of Velocity Storage in the Vestibulo-Ocular Reflex"
"323","0","1990","A Method for the Efficient Design of Boltzmann Machines for Classiffication Problems"
"324","1","1990","A four neuron circuit accounts for change sensitive inhibition in salamander retina"
"325","44","1990","Learning Trajectory and Force Control of an Artificial Muscle Arm by Parallel-hierarchical Neural Network Model"
"326","1","1990","ART2/BP architecture for adaptive estimation of dynamic processes"
"327","11","1990","Compact EEPROM-based Weight Functions"
"328","7","1990","Kohonen Networks and Clustering: Comparative Performance in Color Clustering"
"329","26","1990","Analog Neural Networks as Decoders"
"330","66","1990","Generalization Properties of Radial Basis Functions"
"331","13","1990","Dynamics of Generalization in Linear Perceptrons"
"332","18","1990","Spherical Units as Dynamic Consequential Regions: Implications for Attention, Competition and Categorization"
"333","32","1990","Adaptive Spline Networks"
"334","47","1990","Comparison of three classification techniques: CART, C4.5 and Multi-Layer Perceptrons"
"335","87","1990","Second Order Properties of Error Surfaces: Learning Time and Generalization"
"336","6","1990","Lg Depth Estimation and Ripple Fire Characterization Using Artificial Neural Networks"
"337","47","1990","Rapidly Adapting Artificial Neural Networks for Autonomous Navigation"
"338","55","1990","Associative Memory in a Network of `Biological' Neurons"
"339","9","1990","A Model of Distributed Sensorimotor Control in the Cockroach Escape Turn"
"340","17","1990","A VLSI Neural Network for Color Constancy"
"341","0","1990","Qualitative structure from motion"
"342","9","1990","On Stochastic Complexity and Admissible Models for Neural Network Classifiers"
"343","17","1990","Adaptive Range Coding"
"344","104","1990","A Framework for the Cooperation of Learning Algorithms"
"345","34","1990","Multi-Layer Perceptrons with B-Spline Receptive Field Functions"
"346","26","1990","Modeling Time Varying Systems Using Hidden Control Neural Architecture"
"347","8","1990","A Second-Order Translation, Rotation and Scale Invariant Neural Network"
"348","5","1990","Applications of Neural Networks in Video Signal Processing"
"349","9","1990","A Neural Network Approach for Three-Dimensional Object Recognition"
"350","62","1990","Extensions of a Theory of Networks for Approximation and Learning: Outliers and Negative Examples"
"351","172","1990","Note on Learning Rate Schedules for Stochastic Optimization"
"352","4","1990","Language Induction by Phase Transition in Dynamical Recognizers"
"353","27","1990","Discrete Affine Wavelet Transforms For Anaylsis And Synthesis Of Feedfoward Neural Networks"
"354","78","1990","Transforming Neural-Net Output Levels to Probability Distributions"
"355","5","1990","The Devil and the Network: What Sparsity Implies to Robustness and Memory"
"356","159","1990","A Novel Approach to Prediction of the 3-Dimensional Structures of Protein Backbones by Neural Networks"
"357","30","1990","Development and Spatial Structure of Cortical Feature Maps: A Model Study"
"358","10","1990","A Recurrent Neural Network for Word Identification from Continuous Phoneme Strings"
"359","6","1990","Speech Recognition Using Demi-Syllable Neural Prediction Model"
"360","3","1990","Speech Recognition Using Connectionist Approaches"
"361","60","1990","Grouping Contours by Iterated Pairing Network"
"362","42","1990","Back Propagation Implementation on the Adaptive Solutions CNAPS Neurocomputer Chip"
"363","435","1990","EMPATH: Face, Emotion, and Gender Recognition Using Holons"
"364","59","1990","Integrated Modeling and Control Based on Reinforcement Learning and Dynamic Programming"
"365","48","1990","Relaxation Networks for Large Supervised Learning Problems"
"366","28","1990","Navigating through Temporal Difference"
"367","10","1990","Direct memory access using two cues: Finding the intersection of sets in a connectionist model"
"368","4","1990","Stereopsis by a Neural Network Which Learns the Constraints"
"369","2","1990","Learning Theory and Experiments with Competitive Networks"
"370","16","1990","Basis-Function Trees as a Generalization of Local Variable Selection Methods for Function Approximation"
"371","257","1990","Cholinergic Modulation May Enhance Cortical Associative Memory Function"
"372","191","1990","A competitive modular connectionist architecture"
"373","123","1990","Reinforcement Learning in Markovian and Non-Markovian Environments"
"374","307","1990","The Recurrent Cascade-Correlation Architecture"
"375","0","1990","Neural Networks Structured for Control Application to Aircraft Landing"
"376","15","1990","A Connectionist Learning Control Architecture for Navigation"
"377","3","1990","From Speech Recognition to Spoken Language Understanding: The Development of the MIT SUMMIT and VOYAGER Systems"
"378","45","1990","Stochastic Neurodynamics"
"379","67","1990","A Delay-Line Based Motion Detection Chip"
"380","41","1990","Discovering Viewpoint-Invariant Relationships That Characterize Objects"
"381","122","1990","Constructing Hidden Units using Examples and Queries"
"382","25","1990","Distributed Recursive Structure Processing"
"383","132","1990","Spoken Letter Recognition"
"384","34","1990","Planning with an Adaptive World Model"
"385","21","1990","Connectionist Music Composition Based on Melodic and Stylistic Constraints"
"386","2","1990","Analog Computation at a Critical Point: A Novel Function for Neuronal Oscillations?"
"387","1","1990","A Reinforcement Learning Variant for Control Scheduling"
"388","20","1990","Natural Dolphin Echo Recognition Using an Integrator Gateway Network"
"389","1","1990","Simulation of the Neocognitron on a CCD Parallel Processing Architecture"
"390","26","1990","Remarks on Interpolation and Recognition Using Neural Nets"
"391","8","1990","A B-P ANN Commodity Trader"
"392","11","1990","Shaping the State Space Landscape in Recurrent Networks"
"393","37","1990","e-Entropy and the Complexity of Feedforward Neural Networks"
"394","154","1990","Integrated Segmentation and Recognition of Hand-Printed Numerals"
"395","7","1990","A Multiscale Adaptive Network Model of Motion Computation in Primates"
"396","19","1990","Self-organization of Hebbian Synapses in Hippocampal Neurons"
"397","4","1990","Feedback Synapse to Cone and Light Adaptation"
"398","1","1990","Designing Linear Threshold Based Neural Network Pattern Classifiers"
"399","27","1990","Convergence of a Neural Network Classifier"
"400","6","1990","Interaction Among Ocularity, Retinotopy and On-center/Off-center Pathways During Development"
