index,citations,year,Title,citations_average
288,17,1990,Discovering Discrete Distributed Representations with Iterative Competitive Learning,0.6071428571428571
289,1,1990,Oscillation Onset in Neural Delayed Feedback,0.03571428571428571
294,6,1990,Translating Locative Prepositions,0.21428571428571427
295,24,1990,Design and Implementation of a High Speed CMAC Neural Network Using Programmable CMOS Logic Cell Arrays,0.8571428571428571
296,133,1990,Evaluation of Adaptive Mixtures of Competing Experts,4.75
297,14,1990,Generalization Dynamics in LMS Trained Linear Networks,0.5
299,5,1990,Connection Topology and Dynamics in Lateral Inhibition Networks,0.17857142857142858
302,570,1990,SEXNET: A Neural Network Identifies Sex From Human Faces,20.357142857142858
304,28,1990,Learning to See Rotation and Dilation with a Hebb Rule,1.0
306,8,1990,An Analog VLSI Splining Network,0.2857142857142857
308,40,1990,VLSI Implementations of Learning and Memory Systems: A Review,1.4285714285714286
309,39,1990,Chaitin-Kolmogorov Complexity and Generalization in Neural Networks,1.3928571428571428
310,101,1990,A Neural Expert System with Automated Extraction of Fuzzy If-Then Rules and Its Application to Medical Diagnosis,3.607142857142857
311,0,1990,Neural Dynamics of Motion Segmentation and Grouping,0.0
313,8,1990,Flight Control in the Dragonfly: A Neurobiological Simulation,0.2857142857142857
318,3,1990,Closed-Form Inversion of Backpropagation Networks: Theory and Optimization Issues,0.10714285714285714
320,44,1990,RecNorm: Simultaneous Normalisation and Classification applied to Speech Recognition,1.5714285714285714
323,0,1990,A Method for the Efficient Design of Boltzmann Machines for Classiffication Problems,0.0
324,1,1990,A four neuron circuit accounts for change sensitive inhibition in salamander retina,0.03571428571428571
326,1,1990,ART2/BP architecture for adaptive estimation of dynamic processes,0.03571428571428571
327,11,1990,Compact EEPROM-based Weight Functions,0.39285714285714285
328,7,1990,Kohonen Networks and Clustering: Comparative Performance in Color Clustering,0.25
329,26,1990,Analog Neural Networks as Decoders,0.9285714285714286
330,66,1990,Generalization Properties of Radial Basis Functions,2.357142857142857
331,13,1990,Dynamics of Generalization in Linear Perceptrons,0.4642857142857143
332,18,1990,"Spherical Units as Dynamic Consequential Regions: Implications for Attention, Competition and Categorization",0.6428571428571429
333,32,1990,Adaptive Spline Networks,1.1428571428571428
334,47,1990,"Comparison of three classification techniques: CART, C4.5 and Multi-Layer Perceptrons",1.6785714285714286
337,47,1990,Rapidly Adapting Artificial Neural Networks for Autonomous Navigation,1.6785714285714286
339,9,1990,A Model of Distributed Sensorimotor Control in the Cockroach Escape Turn,0.32142857142857145
340,17,1990,A VLSI Neural Network for Color Constancy,0.6071428571428571
342,9,1990,On Stochastic Complexity and Admissible Models for Neural Network Classifiers,0.32142857142857145
344,104,1990,A Framework for the Cooperation of Learning Algorithms,3.7142857142857144
345,34,1990,Multi-Layer Perceptrons with B-Spline Receptive Field Functions,1.2142857142857142
349,9,1990,A Neural Network Approach for Three-Dimensional Object Recognition,0.32142857142857145
351,172,1990,Note on Learning Rate Schedules for Stochastic Optimization,6.142857142857143
353,27,1990,Discrete Affine Wavelet Transforms For Anaylsis And Synthesis Of Feedfoward Neural Networks,0.9642857142857143
355,5,1990,The Devil and the Network: What Sparsity Implies to Robustness and Memory,0.17857142857142858
357,30,1990,Development and Spatial Structure of Cortical Feature Maps: A Model Study,1.0714285714285714
358,10,1990,A Recurrent Neural Network for Word Identification from Continuous Phoneme Strings,0.35714285714285715
360,3,1990,Speech Recognition Using Connectionist Approaches,0.10714285714285714
361,60,1990,Grouping Contours by Iterated Pairing Network,2.142857142857143
362,42,1990,Back Propagation Implementation on the Adaptive Solutions CNAPS Neurocomputer Chip,1.5
363,435,1990,"EMPATH: Face, Emotion, and Gender Recognition Using Holons",15.535714285714286
