index,citations,year,Author0,Author1,Author2,Author3,Author4,Author5,Author6,Author7,Author8,Author9,Author10,Author11,Author12,Author13,Author14,Author15,Author16,Author17,citations_average
379,67,1990,Tim Horiuchi,John Lazzaro,Andrew Moore,Christof Koch,,,,,,,,,,,,,,,2.392857142857143
380,41,1990,Richard S. Zemel,Geoffrey E. Hinton,,,,,,,,,,,,,,,,,1.4642857142857142
383,132,1990,Mark Fanty,Ronald Cole,,,,,,,,,,,,,,,,,4.714285714285714
384,34,1990,Sebastian Thrun,Knut Möller,Alexander Linden,,,,,,,,,,,,,,,,1.2142857142857142
386,2,1990,Leonid Kruglyak,William Bialek,,,,,,,,,,,,,,,,,0.07142857142857142
388,20,1990,Herbert L. Roitblat,Patrick W. B. Moore,Paul E. Nachtigall,Ralph H. Penner,,,,,,,,,,,,,,,0.7142857142857143
389,1,1990,Michael L. Chuang,Alice M. Chiang,,,,,,,,,,,,,,,,,0.03571428571428571
390,26,1990,Eduardo D. Sontag,,,,,,,,,,,,,,,,,,0.9285714285714286
393,37,1990,Robert C. Williamson,,,,,,,,,,,,,,,,,,1.3214285714285714
395,7,1990,H. Taichi Wang,Bimal Mathur,Christof Koch,,,,,,,,,,,,,,,,0.25
397,4,1990,Josef Skrzypek,,,,,,,,,,,,,,,,,,0.14285714285714285
398,1,1990,Terrence L. Fine,,,,,,,,,,,,,,,,,,0.03571428571428571
399,27,1990,John S. Baras,Anthony LaVigna,,,,,,,,,,,,,,,,,0.9642857142857143
400,6,1990,Shigeru Tanaka,,,,,,,,,,,,,,,,,,0.21428571428571427
402,135,1990,Eric I. Chang,Richard P. Lippmann,,,,,,,,,,,,,,,,,4.821428571428571
404,9,1990,Kenneth A. Marko,,,,,,,,,,,,,,,,,,0.32142857142857145
405,84,1990,Roger N. Shepard,Sheila Kannappan,,,,,,,,,,,,,,,,,3.0
406,2,1990,Andreas V. M. Herz,Zhaoping Li,J. Leo van Hemmen,,,,,,,,,,,,,,,,0.07142857142857142
408,15,1990,J.D. Cowan,A. E. Friedman,,,,,,,,,,,,,,,,,0.5357142857142857
409,3,1990,Thomas B. Kepler,L. F. Abbott,Eve Marder,,,,,,,,,,,,,,,,0.10714285714285714
410,53,1990,Wyeth Bair,Christof Koch,,,,,,,,,,,,,,,,,1.8928571428571428
411,16,1990,Bartlett W. Mel,Stephen M. Omohundro,,,,,,,,,,,,,,,,,0.5714285714285714
412,36,1990,Pierre Baldi,,,,,,,,,,,,,,,,,,1.2857142857142858
413,6,1990,Bill Baird,Frank Eeckman,,,,,,,,,,,,,,,,,0.21428571428571427
414,807,1990,Andreas S. Weigend,David E. Rumelhart,Bernardo A. Huberman,,,,,,,,,,,,,,,,28.821428571428573
415,15,1990,Michael Gasser,Chan-Do Lee,,,,,,,,,,,,,,,,,0.5357142857142857
417,8,1990,John K. Kruschke,,,,,,,,,,,,,,,,,,0.2857142857142857
419,4,1990,Eric Mjolsness,Willard L. Miranker,,,,,,,,,,,,,,,,,0.14285714285714285
420,16,1990,Ernst Niebur,Daniel M. Kammen,Christof Koch,Daniel L. Ruderman,Heinz G. Schuster,,,,,,,,,,,,,,0.5714285714285714
422,115,1990,Kenney Ng,Richard P. Lippmann,,,,,,,,,,,,,,,,,4.107142857142857
423,3,1990,Robert R. Snapp,Demetri Psaltis,Santosh S. Venkatesh,,,,,,,,,,,,,,,,0.10714285714285714
424,14,1990,Jack D. Cowan,A. E. Friedman,,,,,,,,,,,,,,,,,0.5
425,4,1990,Hong C. Leung,James R. Glass,Michael S. Phillips,Victor W. Zue,,,,,,,,,,,,,,,0.14285714285714285
