index,citations,year,Affiliation0,Affiliation1,Affiliation2,Affiliation3,Affiliation4,Affiliation5,Affiliation6,Affiliation7,Affiliation8,Affiliation9,citations_average
613,17,1992,,,,,,,,,,,0.6538461538461539
614,15,1992,,,,,,,,,,,0.5769230769230769
619,389,1992,,,,,,,,,,,14.961538461538462
620,66,1992,,,,,,,,,,,2.5384615384615383
623,70,1992,"Professor of science education, Michigan State University'",,,,,,,,,,2.6923076923076925
625,38,1992,,,,,,,,,,,1.4615384615384615
627,22,1992,,,,,,,,,,,0.8461538461538461
628,9,1992,,,,,,,,,,,0.34615384615384615
629,0,1992,,"Professor of Computer Science, Australian National University; Distinguished Researcher\xc2\xa0\xe2\x80\xa6'",,,,,,,,,0.0
630,5,1992,,,,,,,,,,,0.19230769230769232
631,15,1992,,"professeur d'informatique, Universit\xc3\xa9 Laval""",,,,,,,,,0.5769230769230769
632,13,1992,,,,ATR',,,,,,,0.5
